"Part Number"	"Manufacturer"	"Description"	"Label"	"Package"	"Value"
"GRM188R60J475KE19D"	"Murata"	"0603 4.7 uF 6.3 V ±10% Tolerance X5R Multilayer Ceramic Chip Capacitor"	"Capacitor"	"0603"	"4.7 uF"
"GRM188R61A475KE15D"	"Murata"	"Multilayer Ceramic Capacitor, Grm Series, 4.7 - F, - 10%, X5r, 10 V, 0603 [1608 Metric]"	"Capacitor"	"0603"	"4.7 uF"
"GRM21BF51A475ZA01L"	"Murata"	"Multilayer Ceramic Capacitor, GRM Series, 4.7 - F, +80%, -20%, Y5V, 10 V, 0805 [2012 Metric]"	"Capacitor"	"0805"	"4.7 uF"
"CC0805KRX5R5BB106"	"Yageo"	"0805 10 uF 6.3 V ±10 % Tolerance X5R SMT Multilayer Ceramic Capacitor"	"Capacitor"	"0805"	"10 uF"
"GRM155C80J106ME11D"	"Murata"	"Multi-layer Ceramic Capacitor 10uF 20% 6.3V X6S 0402 Size Surface Mount Paper T/R"	"Capacitor"	"0402"	"10 µF"
"GRM21BR61A106KE19L"	"Murata"	"Capacitor: ceramic; MLCC; 10uF; 10V; X5R; ±10%; SMD; 0805; Series: GRM"	"Capacitor"	"0805"	"10 uF"
"GRM21BR61C106KE15L"	"Murata"	"Cap Ceramic 10uF 16V X5R 10% SMD 0805 85°C Embossed T/R"	"Capacitor"	"0805"	"10 uF"
"GRM31CR61H106MA12L"	"Murata"	"Cap Ceramic 10uF 50V X5R 20% SMD 1206 85°C Embossed Plastic T/R"	"Capacitor"	1206	"10 uF"
"JMK107ABJ106MA-T"	"Taiyo Yuden"	"0603 10 uF 6.3 V ±20% Tolerance X5R SMT Multilayer Ceramic Capacitor"	"Capacitor"	"0603"	"10 uF"
